id,score
0x01,9.9
0x02,8.9
0x03,9.8
0x04,8.7
0x05,10
0x06,9.9
0x07,9.9
0x08,9.9
0x09,9.4
0x0a,9.4
0x0b,9.9
0x0c,9.9
0x0d,10
0x0e,0
0x0f,9.4
0x10,9.8
0x11,0
0x12,7.1
0x13,7.6
0x14,0
0x15,7.4
0x16,9.7
0x17,9.5
0x18,7.1
0x19,8.4
0x1a,8.9
0x1b,7.3
0x1c,0
0x1d,5.9
0x1e,8.5
0x1f,5
0x20,8.4
0x21,6.9
0x22,6.5
0x23,7.8
0x24,10
0x26,5.8
0x25,0
0x27,9
0x28,7.2
0x29,9.8
0x2a,9.7
0x2b,7.8
0x2c,7.6
0x2d,10
0x2e,5
0x2f,5.4
0x30,8.2
0x31,9.4
0x32,8.9
0x33,8.6
0x34,9.4
0x35,9.2
0x36,5.8
0x37,7.3
0x38,8.7
0x39,8.2
0x3a,8.3
0x3b,5
0x3c,9.2
0x3d,6.5
0x3e,4.1
0x3f,8.6
0x40,9
0x41,8.1
0x42,8.9
0x43,9.8
0x44,9.7
0x45,9.3
0x46,0
0x47,9.3
0x48,8.5
0x49,9.8
0x4a,5.6
0x4b,7.2
0x4c,9.7
0x4d,0
0x4e,0
0x4f,4.1
0x50,8.5
0x51,8.7
0x52,6.7
0x53,0
0x54,0
0x55,9.1
0x56,0
0x57,9.2
0x58,8.5
0x59,0
0x5a,0
0x5b,5
0x5c,9.2
0x5d,8.9
0x5e,9.1
0x60,5.4
0x5f,7.7
0x61,8.8
0x62,8.1
0x63,0
0x64,0
0x65,5
0x66,0
0x67,4.1
0x68,7.9
0x69,9.1
0x6a,6.9
0x6b,5.4
0x6c,6.1
0x6d,4.1
0x6e,4.1
0x6f,0
0x70,9.9
0x71,6.2
0x72,9.7
0x73,9.6
0x74,5.8
0x75,9.2
0x76,0
0x77,7.4
0x78,9
0x7a,7.8
0x79,7.4
0x7b,10
0x7c,5
0x7d,8
0x7e,5.8
0x81,8.8
0x82,9.9
0x84,7.9
0x85,9.5
0x88,8.5
0x8a,8.8
0x8e,10
0x8d,8.7
0x8f,0
0x91,7.7
0x92,9.4
0x93,4.1
0x97,9.8
0x98,8.7
0x99,9.5
0xa0,8.9
0xa1,9.9
0xa2,0
0xa3,0
0xa4,9.2
0xa5,8.3
0xa6,9.3
0xa8,9.1
0xaa,5.8
0xa9,0
0xad,9.8
0xac,9.7
0xaf,9.6
0xae,10
0xb5,7.5
0xb6,9.2
0xb7,6.5
0xb9,7.6
0xba,5
0xbc,5.4
0xbb,6.5
0xbd,5
0xc2,9.9
0xc3,6.4
0xc4,7.5
0xc6,7.5
0xc7,6.7
0xc8,9.4
0xc9,5.4
0xcc,7.5
0xcb,9.4
0xce,9.2
0xd2,7.5
0xd3,5.8
0xd4,0
0xd6,7.4
0xd8,9.4
0xdb,6.7
0xe0,5
0xe3,9.9
0xe4,9.1
0xe7,9.9
0xe9,7.8
0xeb,9.2
0xee,7.2
0xf1,5.4
0xf2,6.9
0xf3,8.3
0xf4,8.3
0xf5,10
0xf6,8.5
0xf9,0
0xfc,6.7
0xfe,9.3
0x0102,9.8
0x0108,5.4
0x010c,7.8
0x010d,7.1
0x0110,8.8
0x0112,0
0x0113,8.8
0x0115,8.7
0x0116,0
0x0117,5.4
0x011b,4.1
0x011a,8.8
0x011d,6.5
0x011e,4.1
0x0120,0
0x0121,5.4
0x0123,7.2
0x0124,7.3
0x0125,9.2
0x0127,7.7
0x0129,6.2
